name,year,rating,actors
The Shawshank Redemption,1994,9.2,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
The Godfather,1972,9.2,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
The Godfather: Part II,1974,9.0,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
The Dark Knight,2008,9.0,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
12 Angry Men,1957,8.9,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
Schindler's List,1993,8.9,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
Pulp Fiction,1994,8.9,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
The Lord of the Rings: The Return of the King,2003,8.9,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
"The Good, the Bad and the Ugly",1966,8.8,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
Fight Club,1999,8.8,"David Fincher (dir.), Brad Pitt, Edward Norton"
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
Forrest Gump,1994,8.7,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
Inception,2010,8.7,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
The Lord of the Rings: The Two Towers,2002,8.7,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
One Flew Over the Cuckoo's Nest,1975,8.7,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
Goodfellas,1990,8.7,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
The Matrix,1999,8.7,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
Seven Samurai,1954,8.6,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
Star Wars: Episode IV - A New Hope,1977,8.6,"George Lucas (dir.), Mark Hamill, Harrison Ford"
City of God,2002,8.6,"Fernando Meirelles (dir.), Alexandre Rodrigues, Matheus Nachtergaele"
Se7en,1995,8.6,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
The Silence of the Lambs,1991,8.6,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
It's a Wonderful Life,1946,8.6,"Frank Capra (dir.), James Stewart, Donna Reed"
Life Is Beautiful,1997,8.6,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
The Usual Suspects,1995,8.6,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
Léon: The Professional,1994,8.5,"Luc Besson (dir.), Jean Reno, Gary Oldman"
Saving Private Ryan,1998,8.5,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
Spirited Away,2001,8.5,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
American History X,1998,8.5,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
Once Upon a Time in the West,1968,8.5,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
Interstellar,2014,8.5,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
The Green Mile,1999,8.5,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
Psycho,1960,8.5,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
Casablanca,1942,8.5,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
City Lights,1931,8.5,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
The Intouchables,2011,8.5,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
Modern Times,1936,8.5,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
The Pianist,2002,8.5,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
Raiders of the Lost Ark,1981,8.5,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
The Departed,2006,8.5,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
Rear Window,1954,8.5,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
Terminator 2,1991,8.5,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
